CustomerID,Age,Gender,Income,PurchaseFrequency,AvgSpend,ChurnRisk,Sector,TripsPerYear,LoyaltyTier,ProductCategory,AvgRating,CartAbandonRate,CreditScore,NumTransactions,MonthlyDataGB,CallMinutes
314a7133-387e-439c-af80-64f32447f89c,55,Other,26938.43,9,85.47,High,Travel,4.0,Bronze,,,,,,,
81b2ae64-71c6-4d9d-bb2c-33dd5568aa72,49,Other,73999.98,95,1975.91,High,Travel,0.0,Gold,,,,,,,
6ebc1e59-0765-4583-b5ff-5c5e772d686c,67,Male,121474.33,92,616.2,Medium,E-commerce,,,Fashion,3.8,0.08,,,,
bf74ca40-d604-49ec-b26c-dacca2ad8847,18,Female,136023.27,36,827.55,Medium,Banking,,,,,,514.0,149.0,,
567a5374-7d80-40e9-856d-fb77fe379519,74,Male,133326.08,64,1964.85,High,Travel,8.0,Gold,,,,,,,
8290a967-d970-400c-934b-2f48272151c6,29,Male,145102.92,87,1458.52,Medium,Banking,,,,,,711.0,65.0,,
d5282ea0-77b8-4ecf-bffb-61423f067144,32,Other,41696.21,78,1525.14,Low,E-commerce,,,Beauty,1.2,0.36,,,,
b3fd019d-1204-4e22-b3e6-1bc7b3e449b9,67,Male,51102.2,53,803.94,Low,Banking,,,,,,407.0,121.0,,
ada1ef26-842e-49b2-b751-f2d43177a38b,54,Other,149009.94,87,439.09,High,Banking,,,,,,764.0,199.0,,
3db1e857-df27-4e9d-b2d3-55ad04808288,72,Female,116269.41,68,308.89,High,Travel,0.0,Gold,,,,,,,
bbf3edb2-52a0-4c50-8f7c-b858569aab93,71,Other,41222.64,63,689.68,Low,E-commerce,,,Fashion,4.5,0.47,,,,
7c17410b-312b-4c2b-9542-a177686261a6,63,Male,74510.8,93,1809.29,Low,E-commerce,,,Electronics,1.1,0.06,,,,
9fb7b169-b4cf-464b-838a-b9ec460cfee5,41,Female,84320.02,100,1322.03,Medium,E-commerce,,,Fashion,2.0,0.24,,,,
a662196c-1799-46ef-88ca-d46c23347c4e,69,Other,124612.97,44,1525.98,Low,Travel,9.0,Platinum,,,,,,,
bb9cd747-2549-438e-958a-27abc62993ca,68,Male,114368.11,75,1010.42,Medium,Travel,15.0,Platinum,,,,,,,
52e00f99-999f-4ef4-bd47-fd747140253d,62,Other,28031.44,70,323.51,Low,Banking,,,,,,726.0,184.0,,
44e5d159-06e4-4c9a-bced-0a94ff0c2fdc,42,Other,148457.15,10,505.08,Low,Travel,7.0,Silver,,,,,,,
a355afed-b1d7-436f-81df-62529abc8790,20,Female,93332.27,35,306.13,Low,E-commerce,,,Sports,4.6,0.39,,,,
e022d4f9-7489-4740-a07c-51f36a933de8,80,Other,68979.7,29,926.98,Low,E-commerce,,,Sports,4.6,0.14,,,,
c91fddd5-912d-4d85-8f5f-b1d624981157,53,Female,81380.98,79,1278.84,High,Travel,5.0,Gold,,,,,,,
7fe15717-7494-4367-bc10-ed0aaba1305d,61,Other,80398.28,53,420.02,Medium,Telecom,,,,,,,,19.86,1730.0
d84dccac-802c-4f4a-99ac-ce2fe13f8b8d,77,Female,72255.82,12,1763.97,Low,Travel,9.0,Silver,,,,,,,
957a66f1-ebcb-4c14-8d9e-637048a9e5e6,45,Female,68962.88,80,1393.06,Medium,Travel,11.0,Silver,,,,,,,
6e654a3d-32f0-470f-879c-90489fc493fe,32,Other,69756.32,18,1173.33,Medium,Banking,,,,,,634.0,111.0,,
fd9a9a52-cc21-4694-b9c1-36e10679631d,67,Male,62647.37,38,258.65,Low,E-commerce,,,Electronics,3.0,0.45,,,,
8d3d15ba-905c-4ee8-aa64-0c378ea62952,47,Female,124733.6,63,1351.46,High,E-commerce,,,Fashion,2.3,0.31,,,,
17b17c26-a750-4282-b0b9-31c199b3d101,21,Female,26206.51,38,1884.33,High,Telecom,,,,,,,,18.0,835.0
df050f07-90d8-499c-a634-6fbe4f63519c,53,Male,137765.63,75,1201.07,High,Banking,,,,,,547.0,105.0,,
6406b1b9-a961-481b-b6ca-7ec9e24e1daa,54,Male,128577.0,48,1110.4,Medium,Retail,,,Electronics,4.1,0.45,,,,
596e3a18-7f48-49f8-8c43-94589d55721c,46,Male,84969.87,54,1813.91,Medium,Telecom,,,,,,,,18.47,1596.0
30a493a2-eef8-4bf4-bf5e-f83fbd6095df,63,Male,123889.08,9,685.24,Medium,Banking,,,,,,348.0,75.0,,
12291d46-88be-4f6f-99ff-be8ac36b93fe,27,Other,80575.14,12,1084.52,Low,Travel,13.0,Platinum,,,,,,,
0f9a8854-3749-49a9-a1cd-b9ff506158b3,70,Female,91675.67,78,1358.07,Medium,Banking,,,,,,713.0,112.0,,
a02ade93-c69d-4575-8326-1edeb8ee88f5,20,Female,56394.19,54,364.98,High,Retail,,,Beauty,2.4,0.43,,,,
7685eed5-be6e-404d-8651-b947b7866249,39,Female,40547.13,70,1693.39,Medium,Telecom,,,,,,,,41.08,1834.0
2398fc97-c4bf-4de5-a395-49f2831b1bfa,24,Male,73909.86,42,481.28,Low,Retail,,,Electronics,2.1,0.45,,,,
a4f936d8-0823-4fae-9e1d-34d89cce09f7,69,Male,146887.33,59,110.98,Low,Banking,,,,,,415.0,39.0,,
73ba51ba-fdfb-42c0-80cc-d4a3417a685b,57,Male,92226.86,31,596.05,Medium,Banking,,,,,,554.0,105.0,,
005a5ddf-4ea7-43ce-9d8e-ec7ab88abf4f,19,Other,39149.55,75,1510.1,High,Banking,,,,,,441.0,55.0,,
bc157e1a-70d1-4427-8250-765635b33d08,46,Other,76853.12,8,13.76,High,Retail,,,Beauty,4.3,0.07,,,,
063c5adf-b1cd-4624-9f3b-fe411f02afa5,66,Female,78311.95,57,628.07,Medium,Banking,,,,,,336.0,140.0,,
28e18115-8a41-4a8a-ad2f-1ea1650b5d8c,56,Other,69404.32,23,1725.11,Low,Banking,,,,,,642.0,164.0,,
7ad58949-e37b-4e46-ac9c-643ea90bb20d,65,Female,99631.07,1,809.42,High,Travel,5.0,Bronze,,,,,,,
00317337-7233-466c-ad91-8ad84a250836,29,Other,42972.62,41,246.25,Medium,Telecom,,,,,,,,23.19,2914.0
10d25404-67f7-4a82-b1a8-6f3e9dc3c731,56,Male,145399.44,55,1537.54,Medium,Telecom,,,,,,,,41.63,133.0
2f940e18-b9fb-4d0a-862c-b8de72cfaede,39,Female,47668.77,65,1332.21,Medium,Retail,,,Sports,1.7,0.13,,,,
